name,Reference,inchi,Organism,DetectedBy,TypeOfExperiment,TypeOfDetection,Comments,,,
Succinate,PMID:11495994,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glutamine,PMID:2152909,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Ammonium ion,PMID:2467184,InChI=1S/H3N/h1H3/p+1,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Ammonium ion,PMID:10572142,InChI=1S/H3N/h1H3/p+1,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Molybdate,PMID:8760911,InChI=1S/Mo.4O,,,2*-1,,,,,Extracted from RegTransBase v20120406 (20170227).
Glucose,PMID:9076741,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Luteolin,PMID:1809842,"InChI=1S/C15H10O6/c16-8-4-11(19)15-12(20)6-13(21-14(15)5-8)7-1-2-9(17)10(18)3-7/h1-6,16-19H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"GacS, sensor histidine kinase",PMID:10869066,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Biotin,PMID:11255013,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/t6-,7-,9-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Nitrite,PMID:10809710,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe3+)",PMID:1679522,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Gluconate,PMID:9457849,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Carbon dioxide,PMID:10903856,InChI=1S/CO2/c2-1-3,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:2779516,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"RsbW, anti-sigma factor (Staphylococcus aureus)",PMID:10217777,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Mitomycin C,PMID:17581119,"InChI=1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe3+)",PMID:7751284,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Succinate,PMID:16796688,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Potato extract,PMID:9826648,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Zinc ion, (Zn2+)",PMID:16926405,InChI=1S/Zn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-octanoyl homoserine lactone,PMID:10781550,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Crh, phosphocarrier protein",PMID:10559153,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Zinc ion, (Zn2+)",PMID:11282588,InChI=1S/Zn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:9683482,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-octanoyl homoserine lactone,PMID:15522077,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Hydrogen peroxide,PMID:11349039,InChI=1S/H2O2/c1-2/h1-2H,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:10779715,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Imipenem,PMID:14645279,"InChI=1S/C12H17N3O4S/c1-6(16)9-7-4-8(20-3-2-14-5-13)10(12(18)19)15(7)11(9)17/h5-7,9,16H,2-4H2,1H3,(H2,13,14)(H,18,19)/t6-,7-,9-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Copper ion, (Cu2+)",PMID:18707611,InChI=1S/Cu,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"CbrA, two-component sensor  kinase",PMID:14977942,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
2-oxoglutarate,PMID:20025661,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"VanSB, sensor histidine kinase (Enterococcus faecalis)",PMID:8631706,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Temperature (37 C),PMID:12646229,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe2+)",PMID:10639413,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Oxygen,PMID:15231792,InChI=1S/O2/c1-2,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Light,PMID:8344432,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
L-arabinose,PMID:19346355,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fructose-1-phosphate,PMID:21239488,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Cobalt ion, (Co2+)",PMID:8522528,InChI=1S/Co,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:9882655,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Microaerobic conditions,PMID:12427946,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Sucrose,PMID:16321938,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:11566986,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Nitrogen,PMID:9228771,InChI=1S/N2/c1-2,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
4-methylphenol,PMID:8132448,"InChI=1S/C7H8O/c1-6-2-4-7(8)5-3-6/h2-5,8H,1H3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
L-arabinose,PMID:9084180,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"BvgS, sensor histidine kinase (Bordetella pertussis)",PMID:8866479,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-(3-Oxohexanoyl) homoserine lactone,PMID:17400743,"InChI=1S/C10H15NO4/c1-2-3-7(12)6-9(13)11-8-4-5-15-10(8)14/h8H,2-6H2,1H3,(H,11,13)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Microaerobic conditions,PMID:11310745,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Manganese ion, (Mn2+)",PMID:7886944,InChI=1S/Mn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Nickel ion, (Ni2+)",PMID:10850993,InChI=1S/Ni,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Nitrogen,PMID:10542167,InChI=1S/N2/c1-2,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
FsrB protein,PMID:11344145,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
2-chlorophenol,PMID:11549035,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"2,3-dihydroxybiphenyl",PMID:10629187,"InChI=1S/C12H10O2/c13-11-8-4-7-10(12(11)14)9-5-2-1-3-6-9/h1-8,13-14H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Cadmium, ion (Cd2+)",PMID:10913085,InChI=1S/Cd/q+2,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Stationary growth phase,PMID:11238978,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-(3-Oxohexanoyl) homoserine lactone,PMID:16291676,"InChI=1S/C10H15NO4/c1-2-3-7(12)6-9(13)11-8-4-5-15-10(8)14/h8H,2-6H2,1H3,(H,11,13)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Tyrosine,PMID:9226720,"InChI=1S/C9H11NO3/c10-8(9(12)13)5-6-1-3-7(11)4-2-6/h1-4,8,11H,5,10H2,(H,12,13)/t8-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
3-methylbenzyl alcohol,PMID:9260942,"InChI=1S/C8H10O/c1-7-3-2-4-8(5-7)6-9/h2-5,9H,6H2,1H3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Genistein,PMID:12481995,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Manganese ion, (Mn2+)",PMID:11133939,InChI=1S/Mn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:9084180,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"PilS, sensor histidine kinase",PMID:8097014,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Arginine,PMID:10464217,"InChI=1S/C6H14N4O2/c7-4(5(11)12)2-1-3-10-6(8)9/h4H,1-3,7H2,(H,11,12)(H4,8,9,10)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Manganese ion, (Mn2+)",PMID:11349039,InChI=1S/Mn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Flavonoids from plant exudate,PMID:7476161,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:2045367,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Mitomycin C,PMID:17041045,"InChI=1S/C15H18N4O5/c1-5-9(16)12(21)8-6(4-24-14(17)22)15(23-2)13-7(18-13)3-19(15)10(8)11(5)20/h6-7,13,18H,3-4,16H2,1-2H3,(H2,17,22)/t6-,7+,13+,15-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-(3-Oxooctanoyl) homoserine lactone,PMID:10713083,"InChI=1S/C12H19NO4/c1-2-3-4-5-9(14)8-11(15)13-10-6-7-17-12(10)16/h10H,2-8H2,1H3,(H,13,15)/t10-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:9573174,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fructose,PMID:11750824,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
4-hydroxyphenylpyruvate,PMID:17337579,"InChI=1S/C9H8O4/c10-7-3-1-6(2-4-7)5-8(11)9(12)13/h1-4,10H,5H2,(H,12,13)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Citrate,PMID:18805984,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucuronate,PMID:1624451,"InChI=1S/C6H10O7/c7-1-2(8)4(5(10)11)13-6(12)3(1)9/h1-4,6-9,12H,(H,10,11)/t1-,2-,3+,4-,6?/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"RNA polymerase, core enzyme",PMID:10692351,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe2+)",PMID:2501631,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Inosine,PMID:7665470,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Green light,PMID:11807056,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Kaempferol,PMID:1421508,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:2200673,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"1,2-dimethylbenzene",PMID:8593060,"InChI=1S/C8H10/c1-7-5-3-4-6-8(7)2/h3-6H,1-2H3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"NtrB, signal histidine kinase",PMID:11133958,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:7643383,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Calcium, ion (Ca2+)",PMID:1695896,InChI=1S/Ca/q+2,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Symbiotic conditions,PMID:9658006,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Biphenyl,PMID:1569021,InChI=1S/C12H10/c1-3-7-11(8-4-1)12-9-5-2-6-10-12/h1-10H,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Inorganic phosphate,PMID:15263816,"InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)/p-3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Heat shock conditions,PMID:15007732,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"BvgS, virulence sensor protein",PMID:7592423,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe3+)",PMID:7765895,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Light intensity,PMID:9615463,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
L-arabinose,PMID:11418559,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3-,4+,5?/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:17400734,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Naringenin,PMID:17378428,"InChI=1S/C15H12O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-6,13,16-18H,7H2",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fructose-1-phosphate,PMID:9382703,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Low oxygen tension,PMID:17473889,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Low light conditions,PMID:8550440,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-Butyrylhomoserine lactone,PMID:11160083,"InChI=1S/C8H13NO3/c1-2-3-7(10)9-6-4-5-12-8(6)11/h6H,2-5H2,1H3,(H,9,10)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fructose,PMID:10423526,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-(3-oxododecanoyl) homoserine lactone,PMID:11222597,"InChI=1S/C16H27NO4/c1-2-3-4-5-6-7-8-9-13(18)12-15(19)17-14-10-11-21-16(14)20/h14H,2-12H2,1H3,(H,17,19)/t14-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
FsrB protein,PMID:16585749,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
sn-glycerol-3-phosphate,PMID:8752340,"InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Acetosyringone,PMID:3549694,"InChI=1S/C10H12O4/c1-6(11)7-4-8(13-2)10(12)9(5-7)14-3/h4-5,12H,1-3H3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"RegB, sensor histidine kinase",PMID:10347192,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
7-aminodesacetoxycephalosporanic acid,PMID:9236776,"InChI=1S/C8H10N2O3S/c1-3-2-14-7-4(9)6(11)10(7)5(3)8(12)13/h4,7H,2,9H2,1H3,(H,12,13)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fructose,PMID:1904524,"InChI=1S/C6H12O6/c7-2-6(11)5(10)4(9)3(8)1-12-6/h3-5,7-11H,1-2H2/t3-,4-,5+,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Beta-cyclodextrin,PMID:11053372,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:1569031,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"2-chloro-cis,cis-muconate",PMID:9171413,"InChI=1S/C6H5ClO4/c7-4(6(10)11)2-1-3-5(8)9/h1-3H,(H,8,9)(H,10,11)/p-2/b3-1-,4-2+",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Flavonoids from plant exudate,PMID:2562395,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Gluconate,PMID:9358057,"InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Sucrose,PMID:10074089,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe2+)",PMID:10629190,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Acetate,PMID:16109930,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Iron ion, (Fe2+)",PMID:9503616,InChI=1S/Fe,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-(3-oxododecanoyl) homoserine lactone,PMID:14734162,"InChI=1S/C16H27NO4/c1-2-3-4-5-6-7-8-9-13(18)12-15(19)17-14-10-11-21-16(14)20/h14H,2-12H2,1H3,(H,17,19)/t14-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"3-carboxy-cis,cis-muconate",PMID:8550427,"InChI=1S/C7H6O6/c8-5(9)2-1-4(7(12)13)3-6(10)11/h1-3H,(H,8,9)(H,10,11)(H,12,13)/p-3/b2-1-,4-3+",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:7559331,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"GacS, sensor histidine kinase",PMID:18395434,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
2-keto-3-deoxygluconate,PMID:8955401,"InChI=1S/C6H10O6/c7-2-5(10)3(8)1-4(9)6(11)12/h3,5,7-8,10H,1-2H2,(H,11,12)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Manganese ion, (Mn2+)",PMID:15133106,InChI=1S/Mn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fructose-1-phosphate,PMID:8550429,"InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h3,5-8,10-11H,1-2H2,(H2,12,13,14)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Cellobiose,PMID:9673243,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Fucose,PMID:10601201,"InChI=1S/C6H12O5/c1-2-3(7)4(8)5(9)6(10)11-2/h2-10H,1H3/t2-,3+,4+,5-,6?/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Phenol,PMID:9023219,"InChI=1S/C6H6O/c7-6-4-2-1-3-5-6/h1-5,7H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Pyochelin,PMID:16194235,"InChI=1S/C14H16N2O3S2/c1-16-10(14(18)19)7-21-13(16)9-6-20-12(15-9)8-4-2-3-5-11(8)17/h2-5,9-10,13,15H,6-7H2,1H3,(H,18,19)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Cyclic 3',5'-AMP",PMID:7852310,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Cyclic 3',5'-AMP",PMID:2454912,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Xylose,PMID:1569031,"InChI=1S/C5H10O5/c6-2-1-10-5(9)4(8)3(2)7/h2-9H,1H2/t2-,3+,4-,5?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Heat shock conditions,PMID:11254138,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"TcdC, anti-sigma factor",PMID:17542920,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Carbon dioxide,PMID:11222586,InChI=1S/CO2/c2-1-3,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Sucrose,PMID:10986236,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anthranilic acid,PMID:17675379,"InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Oxygen,PMID:10781546,InChI=1S/O2/c1-2,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Manganese ion, (Mn2+)",PMID:9495751,InChI=1S/Mn,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
NAD-oxidized,PMID:9882682,"InChI=1S/C21H27N7O14P2/c22-17-12-19(25-7-24-17)28(8-26-12)21-16(32)14(30)11(41-21)6-39-44(36,37)42-43(34,35)38-5-10-13(29)15(31)20(40-10)27-3-1-2-9(4-27)18(23)33/h1-4,7-8,10-11,13-16,20-21,29-32H,5-6H2,(H5-,22,23,24,25,33,34,35,36,37)/p+1/t10-,11-,13-,14-,15-,16-,20-,21-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Anaerobic conditions,PMID:18174141,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Glucose,PMID:11004180,"InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"Cyclic 3',5'-AMP",PMID:2172762,"InChI=1S/C10H12N5O6P/c11-8-5-9(13-2-12-8)15(3-14-5)10-6(16)7-4(20-10)1-19-22(17,18)21-7/h2-4,6-7,10,16H,1H2,(H,17,18)(H2,11,12,13)/t4-,6-,7-,10-/m1/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-octanoyl homoserine lactone,PMID:17496085,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
3-methylbenzyl alcohol,PMID:2440045,"InChI=1S/C8H10O/c1-7-3-2-4-8(5-7)6-9/h2-5,9H,6H2,1H3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
DNA damage,PMID:9294033,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Genistein,PMID:1421508,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Acetosyringone,PMID:1735704,"InChI=1S/C10H12O4/c1-6(11)7-4-8(13-2)10(12)9(5-7)14-3/h4-5,12H,1-3H3",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
N-acetyl-L-serine,PMID:1706701,"InChI=1S/C5H9NO4/c1-3(8)6-4(2-7)5(9)10/h4,7H,2H2,1H3,(H,6,8)(H,9,10)/t4-/m0/s1",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
"MerD, transcriptional regulator",PMID:15165248,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Hemin,PMID:11747377,,,,,,Extracted from RegTransBase v20120406 (20170227).,,,
2-hydroxybiphenyl,PMID:10629187,"InChI=1S/C12H10O/c13-12-9-5-4-8-11(12)10-6-2-1-3-7-10/h1-9,13H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
indoleglycerol phosphate,PMID:9858743,"InChI=1S/C11H14NO6P/c13-10(6-18-19(15,16)17)11(14)8-5-12-9-4-2-1-3-7(8)9/h1-5,10-14H,6H2,(H2,15,16,17)",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Lactose,PMID:9352913,"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
Quercetin,PMID:1421508,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",,,,,Extracted from RegTransBase v20120406 (20170227).,,,
